species;temp;lux;value
Caloneis schroderi;5;5000;-0.01
Chaetoceros gracilis;5;5000;-0.01
Chaetoceros simplex;5;5000;-0.06
Chlorella ellipsoidea;5;5000;0.03
Chlorella stigmatophora;5;5000;0.01
Chlorella vulgaris (freshwater);5;5000;-0.25
Dunaniella tertiolecta;5;5000;0.28
Cyclotella sp. NUFP-9;5;5000;0.16
Hanzchia marina;5;5000;-0.36
Isochrysis galbana;5;5000;-0.57
Isochrysis aff. galbana;5;5000;-0.62
Nannochlorois oculata;5;5000;0.01
Nannochloris salina;5;5000;0.06
Navicula incerta;5;5000;0.16
Nitzscia sp.;5;5000;-0.1
Skeletonema costatum;5;5000;0.29
Tetraselmus suecica;5;5000;0.04
Thalassiosira fluviatilis;5;5000;0.03
Thalassiosira sp.;5;5000;-0.29
Caloneis schroderi;5;2500;-0.50
Chaetoceros gracilis;5;2500;-0.05
Chaetoceros simplex;5;2500;-0.01
Chlorella ellipsoidea;5;2500;0.02
Chlorella stigmatophora;5;2500;0.24
Chlorella vulgaris (freshwater);5;2500;0.00
Dunaniella tertiolecta;5;2500;0.17
Cyclotella sp. NUFP-9;5;2500;0.08
Hanzchia marina;5;2500;-0.07
Isochrysis galbana;5;2500;-0.07
Isochrysis aff. galbana;5;2500;-0.67
Nannochlorois oculata;5;2500;-0.03
Nannochloris salina;5;2500;0.07
Navicula incerta;5;2500;0.2
Nitzscia sp.;5;2500;0.12
Skeletonema costatum;5;2500;0.34
Tetraselmus suecica;5;2500;-0.02
Thalassiosira fluviatilis;5;2500;0.06
Thalassiosira sp.;5;2500;-0.17
Caloneis schroderi;10;5000;-0.1
Chaetoceros gracilis;10;5000;0.16
Chaetoceros simplex;10;5000;0.27
Chlorella ellipsoidea;10;5000;0.58
Chlorella stigmatophora;10;5000;0.36
Chlorella vulgaris (freshwater);10;5000;0.21
Dunaniella tertiolecta;10;5000;0.43
Cyclotella sp. NUFP-9;10;5000;0.00
Hanzchia marina;10;5000;-0.68
Isochrysis galbana;10;5000;0.42
Isochrysis aff. galbana;10;5000;0.06
Nannochlorois oculata;10;5000;0.01
Nannochloris salina;10;5000;0.04
Navicula incerta;10;5000;0.37
Nitzscia sp.;10;5000;0.2
Skeletonema costatum;10;5000;0.66
Tetraselmus suecica;10;5000;0.42
Thalassiosira fluviatilis;10;5000;0.10
Thalassiosira sp.;10;5000;-0.04
Caloneis schroderi;10;2500;0.25
Chaetoceros gracilis;10;2500;0.07
Chaetoceros simplex;10;2500;0.55
Chlorella ellipsoidea;10;2500;0.53
